filename,scenario_id,scenario_type,target_visible,target_x,target_y,target_radius,target_id,beacon_intensity,decoy_count,star_count,noise_level,blur_kernel,width,height,random_seed
synthetic_0000_clean_target.png,1,clean_target,1,170,135,5,Terminal_B,248,0,0,0.0,0,640,480,42
synthetic_0001_clean_target.png,1,clean_target,1,329,40,8,Terminal_B,247,0,0,0.0,0,640,480,43
synthetic_0002_clean_target.png,1,clean_target,1,78,222,5,Terminal_B,226,0,0,0.0,0,640,480,44
synthetic_0003_clean_target.png,1,clean_target,1,76,279,6,Terminal_B,250,0,0,0.0,0,640,480,45
synthetic_0004_clean_target.png,1,clean_target,1,537,221,5,Terminal_B,235,0,0,0.0,0,640,480,46
synthetic_0005_clean_target.png,1,clean_target,1,140,303,5,Terminal_B,243,0,0,0.0,0,640,480,47
synthetic_0006_clean_target.png,1,clean_target,1,69,57,5,Terminal_B,239,0,0,0.0,0,640,480,48
synthetic_0007_clean_target.png,1,clean_target,1,281,237,5,Terminal_B,248,0,0,0.0,0,640,480,49
synthetic_0008_clean_target.png,1,clean_target,1,556,118,7,Terminal_B,237,0,0,0.0,0,640,480,50
synthetic_0009_clean_target.png,1,clean_target,1,358,207,6,Terminal_B,244,0,0,0.0,0,640,480,51
synthetic_0010_clean_target.png,1,clean_target,1,105,137,7,Terminal_B,235,0,0,0.0,0,640,480,52
synthetic_0011_clean_target.png,1,clean_target,1,404,41,7,Terminal_B,251,0,0,0.0,0,640,480,53
synthetic_0012_clean_target.png,1,clean_target,1,585,220,7,Terminal_B,230,0,0,0.0,0,640,480,54
synthetic_0013_clean_target.png,1,clean_target,1,600,82,5,Terminal_B,228,0,0,0.0,0,640,480,55
synthetic_0014_clean_target.png,1,clean_target,1,110,237,7,Terminal_B,250,0,0,0.0,0,640,480,56
synthetic_0015_clean_target.png,1,clean_target,1,327,54,5,Terminal_B,255,0,0,0.0,0,640,480,57
synthetic_0016_clean_target.png,1,clean_target,1,398,140,8,Terminal_B,255,0,0,0.0,0,640,480,58
synthetic_0017_clean_target.png,1,clean_target,1,328,129,7,Terminal_B,245,0,0,0.0,0,640,480,59
synthetic_0018_clean_target.png,1,clean_target,1,262,438,8,Terminal_B,228,0,0,0.0,0,640,480,60
synthetic_0019_clean_target.png,1,clean_target,1,556,208,5,Terminal_B,229,0,0,0.0,0,640,480,61
synthetic_0020_clean_target.png,1,clean_target,1,442,65,5,Terminal_B,247,0,0,0.0,0,640,480,62
synthetic_0021_clean_target.png,1,clean_target,1,436,26,8,Terminal_B,248,0,0,0.0,0,640,480,63
synthetic_0022_clean_target.png,1,clean_target,1,29,238,5,Terminal_B,236,0,0,0.0,0,640,480,64
synthetic_0023_clean_target.png,1,clean_target,1,181,40,6,Terminal_B,227,0,0,0.0,0,640,480,65
synthetic_0024_clean_target.png,1,clean_target,1,282,322,7,Terminal_B,251,0,0,0.0,0,640,480,66
synthetic_0025_clean_target.png,1,clean_target,1,356,230,6,Terminal_B,239,0,0,0.0,0,640,480,67
